Card,Quantity,Pilot,Archetype,Event,Date Posted,Main/Sideboard,Mana Value,Mana Cost,Colours,Most Recent Printing,Card Text,Type Line,Price EUR,Price USD,Rarity
Roast,2,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Sideboard,2.0,{1}{R},['R'],2015-03-27,Roast deals 5 damage to target creature without flying.,Sorcery,0.32,0.3,uncommon
End the Festivities,1,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Sideboard,1.0,{R},['R'],2021-11-19,End the Festivities deals 1 damage to each opponent and each creature and planeswalker they control.,Sorcery,0.68,0.77,common
Experimental Frenzy,1,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Sideboard,4.0,{3}{R},['R'],2018-10-05,"You may look at the top card of your library any time.
You may play lands and cast spells from the top of your library.
You can't play lands or cast spells from your hand.
{3}{R}: Destroy Experimental Frenzy.",Enchantment,0.1,0.26,rare
Cindervines,2,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Sideboard,2.0,{R}{G},"['G', 'R']",2019-01-25,"Whenever an opponent casts a noncreature spell, Cindervines deals 1 damage to that player.
{1}, Sacrifice Cindervines: Destroy target artifact or enchantment. Cindervines deals 2 damage to that permanent's controller.",Enchantment,0.15,0.28,rare
Kari Zev's Expertise,2,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Sideboard,3.0,{1}{R}{R},['R'],2017-01-20,"Gain control of target creature or Vehicle until end of turn. Untap it. It gains haste until end of turn.
You may cast a spell with mana value 2 or less from your hand without paying its mana cost.",Sorcery,0.74,0.92,rare
Rending Volley,3,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Sideboard,1.0,{R},['R'],2015-03-27,"This spell can't be countered.
Rending Volley deals 4 damage to target white or blue creature.",Instant,2.89,3.2,uncommon
Destructive Revelry,1,Pilot 3,Atarka Red,MTG China Open,2023-06-06,Sideboard,2.0,{R}{G},"['G', 'R']",2013-09-27,Destroy target artifact or enchantment. Destructive Revelry deals 2 damage to that permanent's controller.,Instant,0.2,0.16,uncommon
Lair of the Hydra,2,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Lair of the Hydra enters the battlefield tapped.
{T}: Add {G}.
{X}{G}: Until end of turn, Lair of the Hydra becomes an X/X green Hydra creature. It's still a land. X can't be 0.",Land,2.95,1.52,rare
 Forest,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,5.0,{3}{G}{G},['G'],2019-06-14,"Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
When Deep Forest Hermit enters the battlefield, create four 1/1 green Squirrel creature tokens.
Squirrels you control get +1/+1.",Creature — Elf Druid,0.2,2.13,rare
"Nykthos, Shrine to Nyx",4,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2013-09-27,"{T}: Add {C}.
{2}, {T}: Choose a color. Add an amount of mana of that color equal to your devotion to that color. (Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)",Legendary Land,31.47,34.37,rare
Cavalier of Thorns,4,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,5.0,{2}{G}{G}{G},['G'],2019-07-12,"Reach
When Cavalier of Thorns enters the battlefield, reveal the top five cards of your library. Put a land card from among them onto the battlefield and the rest into your graveyard.
When Cavalier of Thorns dies, you may exile it. If you do, put another target card from your graveyard on top of your library.",Creature — Elemental Knight,14.95,14.22,mythic
"Kiora, Behemoth Beckoner",4,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,3.0,{2}{G/U},"['G', 'U']",2019-05-03,"Whenever a creature with power 4 or greater enters the battlefield under your control, draw a card.
−1: Untap target permanent.",Legendary Planeswalker — Kiora,0.58,1.19,uncommon
"Karn, the Great Creator",4,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,4.0,{4},[],2019-05-03,"Activated abilities of artifacts your opponents control can't be activated.
+1: Until your next turn, up to one target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value.
−2: You may reveal an artifact card you own from outside the game or choose a face-up artifact card you own in exile. Put that card into your hand.",Legendary Planeswalker — Karn,16.09,14.44,rare
Wolfwillow Haven,4,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,2.0,{1}{G},['G'],2020-01-24,"Enchant land
Whenever enchanted land is tapped for mana, its controller adds an additional {G}.
{4}{G}, Sacrifice Wolfwillow Haven: Create a 2/2 green Wolf creature token. Activate only during your turn.",Enchantment — Aura,0.33,0.35,uncommon
Oath of Nissa,4,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,1.0,{G},['G'],2016-01-22,"When Oath of Nissa enters the battlefield, look at the top three cards of your library. You may reveal a creature, land, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
You may spend mana as though it were mana of any color to cast planeswalker spells.",Legendary Enchantment,3.82,5.5,rare
Polukranos Reborn,2,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,3.0,{G}{G}{G},['G'],2023-04-21,,Legendary Creature — Hydra // Legendary Creature — Phyrexian Hydra,0.51,0.76,rare
Elvish Mystic,4,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,1.0,{G},['G'],2021-02-05,{T}: Add {G}.,Creature — Elf Druid,1.39,1.44,common
"Boseiju, Who Endures",2,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {G}.
Channel — {1}{G}, Discard Boseiju, Who Endures: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That player may search their library for a land card with a basic land type, put it onto the battlefield, then shuffle. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,36.47,28.17,rare
Old-Growth Troll,4,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,3.0,{G}{G}{G},['G'],2021-02-05,"Trample
When Old-Growth Troll dies, if it was a creature, return it to the battlefield. It's an Aura enchantment with enchant Forest you control and ""Enchanted Forest has '{T}: Add {G}{G}' and '{1}, {T}, Sacrifice this land: Create a tapped 4/4 green Troll Warrior creature token with trample.'""",Creature — Troll Warrior,1.89,0.8,rare
Llanowar Elves,4,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,1.0,{G},['G'],2018-11-16,{T}: Add {G}.,Creature — Elf Druid,0.26,1.17,common
Storm the Festival,4,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,6.0,{3}{G}{G}{G},['G'],2021-09-24,"Look at the top five cards of your library. You may put up to two permanent cards with mana value 5 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
Flashback {7}{G}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,0.5,1.87,rare
"Nicol Bolas, Dragon-God",1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Mainboard,5.0,{U}{B}{B}{B}{R},"['B', 'R', 'U']",2019-05-03,"Nicol Bolas, Dragon-God has all loyalty abilities of all other planeswalkers on the battlefield.
+1: You draw a card. Each opponent exiles a card from their hand or a permanent they control.
−3: Destroy target creature or planeswalker.
−8: Each opponent who doesn't control a legendary creature or planeswalker loses the game.",Legendary Planeswalker — Bolas,4.9,8.0,mythic
Pestilent Cauldron,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,3.0,{2}{B},['B'],2021-04-23,,Artifact // Sorcery,0.25,0.2,rare
Damping Sphere,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,2.0,{2},[],2018-04-27,"If a land is tapped for two or more mana, it produces {C} instead of any other type and amount.
Each spell a player casts costs {1} more to cast for each other spell that player has cast this turn.",Artifact,0.33,0.29,uncommon
Haywire Mite,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,1.0,{1},[],2022-11-18,"When Haywire Mite dies, you gain 3 life.
{G}, Sacrifice Haywire Mite: Exile target noncreature artifact or noncreature enchantment.",Artifact Creature — Insect,,,uncommon
Pithing Needle,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,1.0,{1},[],2022-07-08,"As Pithing Needle enters the battlefield, choose a card name.
Activated abilities of sources with the chosen name can't be activated unless they're mana abilities.",Artifact,1.09,0.87,rare
Darksteel Citadel,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,0.0,,['L'],2021-04-23,"Indestructible
{T}: Add {C}.",Artifact Land,0.28,0.52,uncommon
The Chain Veil,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,4.0,{4},[],2014-07-18,"At the beginning of your end step, if you didn't activate a loyalty ability of a planeswalker this turn, you lose 2 life.
{4}, {T}: For each planeswalker you control, you may activate one of its loyalty abilities once this turn as though none of its loyalty abilities have been activated this turn.",Legendary Artifact,18.83,26.69,mythic
Tormod's Crypt,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,0.0,,[],2020-07-03,"{T}, Sacrifice Tormod's Crypt: Exile target player's graveyard.",Artifact,0.31,0.24,uncommon
Cityscape Leveler,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,8.0,{8},[],2022-11-18,"Trample
When you cast this spell and whenever Cityscape Leveler attacks, destroy up to one target nonland permanent. Its controller creates a tapped Powerstone token.
Unearth {8}",Artifact Creature — Construct,14.33,11.54,mythic
Transmogrifying Wand,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,3.0,{3},[],2018-07-13,"Transmogrifying Wand enters the battlefield with three charge counters on it.
{1}, {T}, Remove a charge counter from Transmogrifying Wand: Destroy target creature. Its controller creates a 2/4 white Ox creature token. Activate only as a sorcery.",Artifact,0.55,0.35,rare
Woodcaller Automaton,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,10.0,{10},[],2022-11-18,"Prototype {2}{G}{G} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
When Woodcaller Automaton enters the battlefield, if you cast it, untap target land you control. It becomes a Treefolk creature with haste and base power and toughness equal to Woodcaller Automaton's power and toughness. It's still a land.",Artifact Creature — Construct,,0.25,rare
The Mightstone and Weakstone,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,5.0,{5},[],2022-11-18,"When The Mightstone and Weakstone enters the battlefield, choose one —
• Draw two cards.
• Target creature gets -5/-5 until end of turn.
{T}: Add {C}{C}. This mana can't be spent to cast nonartifact spells.
(Melds with Urza, Lord Protector.)",Legendary Artifact — Powerstone,,2.37,rare
The Stone Brain,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,2.0,{2},[],2022-11-18,"{2}, {T}, Exile The Stone Brain: Choose a card name. Search target opponent's graveyard, hand, and library for up to four cards with that name and exile them. That player shuffles, then draws a card for each card exiled from their hand this way. Activate only as a sorcery.",Legendary Artifact,1.91,2.65,rare
The Filigree Sylex,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,2.0,{2},[],2023-02-03,"{T}: Put an oil counter on The Filigree Sylex.
{T}, Sacrifice The Filigree Sylex: Destroy each nonland permanent with mana value equal to the number of oil counters on The Filigree Sylex.
{T}, Remove ten oil counters from among permanents you control and sacrifice The Filigree Sylex: It deals 10 damage to any target.",Legendary Artifact,0.36,0.24,rare
Esika's Chariot,1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,4.0,{3}{G},['G'],2021-02-05,"When Esika's Chariot enters the battlefield, create two 2/2 green Cat creature tokens.
Whenever Esika's Chariot attacks, create a token that's a copy of target token you control.
Crew 4",Legendary Artifact — Vehicle,12.62,8.52,rare
"Skysovereign, Consul Flagship",1,Pilot 4,Mono-Green Devotion,MTG China Open,2023-06-06,Sideboard,5.0,{5},[],2022-02-18,"Flying
Whenever Skysovereign, Consul Flagship enters the battlefield or attacks, it deals 3 damage to target creature or planeswalker an opponent controls.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)",Legendary Artifact — Vehicle,4.43,4.28,mythic
Arboreal Grazer,3,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,1.0,{G},['G'],2019-05-03,"Reach
When Arboreal Grazer enters the battlefield, you may put a land card from your hand onto the battlefield tapped.",Creature — Beast,0.19,0.26,common
Bala Ged Recovery,3,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,3.0,{2}{G},['L'],2023-05-08,,Sorcery // Land,,2.65,uncommon
Botanical Sanctum,4,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2016-09-30,"Botanical Sanctum enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {G} or {U}.",Land,8.94,6.88,rare
Behold the Beyond,1,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,7.0,{5}{B}{B},['B'],2016-04-08,"Discard your hand. Search your library for three cards, put them into your hand, then shuffle.",Sorcery,0.5,2.07,mythic
"Boseiju, Who Endures",3,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2022-02-18,"{T}: Add {G}.
Channel — {1}{G}, Discard Boseiju, Who Endures: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That player may search their library for a land card with a basic land type, put it onto the battlefield, then shuffle. This ability costs {1} less to activate for each legendary creature you control.",Legendary Land,36.47,28.17,rare
"Chandra, Hope's Beacon",1,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,6.0,{4}{R}{R},['R'],2023-04-21,"Whenever you cast an instant or sorcery spell, copy it. You may choose new targets for the copy. This ability triggers only once each turn.
+2: Add two mana in any combination of colors.
+1: Exile the top five cards of your library. Until the end of your next turn, you may cast an instant or sorcery spell from among those exiled cards.
−X: Chandra, Hope's Beacon deals X damage to each of up to two targets.",Legendary Planeswalker — Chandra,8.73,7.77,mythic
Breeding Pool,1,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2019-01-25,"({T}: Add {G} or {U}.)
As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land — Forest Island,17.77,20.64,rare
Emergent Ultimatum,3,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,7.0,{B}{B}{G}{G}{G}{U}{U},"['B', 'G', 'U']",2020-04-24,Search your library for up to three monocolored cards with different names and exile them. An opponent chooses one of those cards. Shuffle that card into your library. You may cast the other cards without paying their mana costs. Exile Emergent Ultimatum.,Sorcery,2.96,1.83,rare
Dark Petition,2,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,5.0,{3}{B}{B},['B'],2015-07-17,"Search your library for a card, put that card into your hand, then shuffle.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, add {B}{B}{B}.",Sorcery,4.72,5.07,rare
Hidden Strings,4,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,2.0,{1}{U},['U'],2013-05-03,"You may tap or untap target permanent, then you may tap or untap another target permanent.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",Sorcery,0.17,0.2,common
Vizier of Tumbling Sands,3,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,3.0,{2}{U},['U'],2020-04-17,"{T}: Untap another target permanent.
Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
When you cycle Vizier of Tumbling Sands, untap target permanent.",Creature — Human Cleric,0.19,0.23,uncommon
Impulse,4,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,3.0,{2}{R},['R'],2014-07-18,"Exile the top three cards of your library. Until end of turn, you may play cards exiled this way. (If you cast a spell this way, you still pay its costs. You can play a land this way only if you have an available land play remaining.)",Sorcery,0.03,0.18,uncommon
Lair of the Hydra,1,Pilot 5,Lotus Field Combo,MTG China Open,2023-06-06,Mainboard,0.0,,['L'],2021-07-23,"If you control two or more other lands, Lair of the Hydra enters the battlefield tapped.
{T}: Add {G}.
{X}{G}: Until end of turn, Lair of the Hydra becomes an X/X green Hydra creature. It's still a land. X can't be 0.",Land,2.95,1.52,rare
